"success","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"true","fullscreen_enter","fullscreen","0","6207","0.0-0.0","24","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","welcome","html-button-response","1","7749","0.0-1.0","24","female","1528","welcome_msg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PISdoc","html-button-response","2","10511","0.0-2.0","24","female","2750","PISdoc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics","survey-html-form","3","20585","0.0-3.0","24","female","10068","","{""age"":""24"",""gender"":""female""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","dass10","survey-likert","4","110004","0.0-4.0","24","female","89406","","{""felt_panic"":1,""no_initiative"":2,""felt_blue"":0,""was_intolerant"":0,""nothing_forward"":1,""felt_scared"":1,""over_react"":1,""felt_worry"":1,""no_relax"":1,""no_positive"":1,""felt_annoyed"":0,""EOL_thoughts"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","5","119166","0.0-5.0-0.0","24","female","9154","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","6","128925","0.0-5.0-0.1","24","female","9751","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","7","133634","0.0-5.0-0.2","24","female","4703","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","8","144401","0.0-5.0-0.3","24","female","10766","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","9","147601","0.0-5.0-0.4","24","female","3197","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","10","148534","0.0-5.0-0.5","24","female","930","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","11","151434","0.0-5.0-0.6","24","female","2897","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
