"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"true","fullscreen_enter","fullscreen","0","3647","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","welcome","html-button-response","1","6059","0.0-1.0","2409","welcome_msg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PISdoc","html-button-response","2","74896","0.0-2.0","68831","PISdoc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics","survey-html-form","3","84479","0.0-3.0","9580","","{""age"":""42"",""gender"":""female"",""id"":""8428""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","dass10","survey-likert","4","175746","0.0-4.0","91261","","{""felt_panic"":0,""no_initiative"":1,""felt_blue"":1,""was_intolerant"":1,""nothing_forward"":0,""felt_scared"":0,""over_react"":1,""felt_worry"":0,""no_relax"":1,""no_positive"":0,""felt_annoyed"":0,""EOL_thoughts"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","5","188127","0.0-5.0-0.0","12377","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","6","256544","0.0-5.0-0.1","68414","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","7","269360","0.0-5.0-0.2","12813","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","8","278477","0.0-5.0-0.3","9114","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","9","283977","0.0-5.0-0.4","5497","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","10","285694","0.0-5.0-0.5","1714","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","11","294643","0.0-5.0-0.6","8947","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","12","351528","0.0-6.0","56882","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","13","353026","0.0-7.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","14","353534","0.0-7.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","15","359162","0.0-7.0-2.0","5621.899999856949","Confidence judgement (first response)","","","-1","-1","","","","left","65","65","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","16","360479","0.0-8.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","17","360987","0.0-8.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","18","364492","0.0-8.0-2.0","3502.2000000476837","Confidence judgement (first response)","","","-1","-1","","","","left","62","62","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","19","365912","0.0-9.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","20","366420","0.0-9.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","21","369908","0.0-9.0-2.0","3485.800000190735","Confidence judgement (first response)","","","-1","-1","","","","left","90.75","90.75","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","22","371389","0.0-10.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","23","371899","0.0-10.0-1.0","null","[Dot display: left=300, right=281, diff=19]","null","","-1","-1","300","281","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","24","375893","0.0-10.0-2.0","3991.2000000476837","Confidence judgement (first response)","","","-1","-1","","","","left","86.5","86.5","50","true","16","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","25","377363","0.0-11.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","26","377873","0.0-11.0-1.0","null","[Dot display: left=300, right=284, diff=16]","null","","-1","-1","300","284","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","27","381346","0.0-11.0-2.0","3469.5","Confidence judgement (first response)","","","-1","-1","","","","right","85.25","50","85.25","false","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","28","382593","0.0-12.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","29","383102","0.0-12.0-1.0","null","[Dot display: left=273, right=300, diff=27]","null","","-1","-1","273","300","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","30","387225","0.0-12.0-2.0","4121.100000143051","Confidence judgement (first response)","","","-1","-1","","","","right","57.25","50","57.25","true","25","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","31","388588","0.0-13.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","32","389097","0.0-13.0-1.0","null","[Dot display: left=275, right=300, diff=25]","null","","-1","-1","275","300","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","33","393842","0.0-13.0-2.0","4742.899999856949","Confidence judgement (first response)","","","-1","-1","","","","right","58.5","50","58.5","true","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","34","395065","0.0-14.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","35","395576","0.0-14.0-1.0","null","[Dot display: left=300, right=277, diff=23]","null","","-1","-1","300","277","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","36","398644","0.0-14.0-2.0","3063.9000000953674","Confidence judgement (first response)","","","-1","-1","","","","left","69.25","69.25","50","true","22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","37","400038","0.0-15.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","38","400548","0.0-15.0-1.0","null","[Dot display: left=300, right=278, diff=22]","null","","-1","-1","300","278","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","39","403460","0.0-15.0-2.0","2908.2999999523163","Confidence judgement (first response)","","","-1","-1","","","","left","67.75","67.75","50","true","21","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","40","404861","0.0-16.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","41","405369","0.0-16.0-1.0","null","[Dot display: left=300, right=279, diff=21]","null","","-1","-1","300","279","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","42","409294","0.0-16.0-2.0","3921","Confidence judgement (first response)","","","-1","-1","","","","left","77.75","77.75","50","true","20","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","43","410736","0.0-17.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","44","411245","0.0-17.0-1.0","null","[Dot display: left=280, right=300, diff=20]","null","","-1","-1","280","300","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","45","414527","0.0-17.0-2.0","3278.600000143051","Confidence judgement (first response)","","","-1","-1","","","","right","64.25","50","64.25","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","46","415960","0.0-18.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","47","416469","0.0-18.0-1.0","null","[Dot display: left=281, right=300, diff=19]","null","","-1","-1","281","300","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","48","419878","0.0-18.0-2.0","3404.5","Confidence judgement (first response)","","","-1","-1","","","","right","60.75","50","60.75","true","18","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","49","421376","0.0-19.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","50","421884","0.0-19.0-1.0","null","[Dot display: left=282, right=300, diff=18]","null","","-1","-1","282","300","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","51","425244","0.0-19.0-2.0","3356.300000190735","Confidence judgement (first response)","","","-1","-1","","","","left","70.5","70.5","50","false","22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","52","426486","0.0-20.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","53","426996","0.0-20.0-1.0","null","[Dot display: left=300, right=278, diff=22]","null","","-1","-1","300","278","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","54","429694","0.0-20.0-2.0","2694","Confidence judgement (first response)","","","-1","-1","","","","right","61.25","50","61.25","false","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","55","431149","0.0-21.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","56","431657","0.0-21.0-1.0","null","[Dot display: left=300, right=274, diff=26]","null","","-1","-1","300","274","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","57","434311","0.0-21.0-2.0","2650.4000000953674","Confidence judgement (first response)","","","-1","-1","","","","left","70","70","50","true","25","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","58","435608","0.0-22.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","59","436117","0.0-22.0-1.0","null","[Dot display: left=300, right=275, diff=25]","null","","-1","-1","300","275","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","60","439194","0.0-22.0-2.0","3073.899999856949","Confidence judgement (first response)","","","-1","-1","","","","left","69.25","69.25","50","true","24","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","61","440696","0.0-23.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","62","441206","0.0-23.0-1.0","null","[Dot display: left=276, right=300, diff=24]","null","","-1","-1","276","300","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","63","444343","0.0-23.0-2.0","3134.5","Confidence judgement (first response)","","","-1","-1","","","","left","68","68","50","false","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","64","445586","0.0-24.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","65","446096","0.0-24.0-1.0","null","[Dot display: left=300, right=273, diff=27]","null","","-1","-1","300","273","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","66","448726","0.0-24.0-2.0","2627.5","Confidence judgement (first response)","","","-1","-1","","","","left","70.5","70.5","50","true","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","67","450159","0.0-25.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","68","450666","0.0-25.0-1.0","null","[Dot display: left=274, right=300, diff=26]","null","","-1","-1","274","300","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","69","453577","0.0-25.0-2.0","2907.7999999523163","Confidence judgement (first response)","","","-1","-1","","","","right","65","50","65","true","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","70","455009","0.0-26.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","71","455520","0.0-26.0-1.0","null","[Dot display: left=274, right=300, diff=26]","null","","-1","-1","274","300","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","72","460444","0.0-26.0-2.0","4920.900000095367","Confidence judgement (first response)","","","-1","-1","","","","right","52.25","50","52.25","true","25","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","73","461925","0.0-27.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","74","462434","0.0-27.0-1.0","null","[Dot display: left=275, right=300, diff=25]","null","","-1","-1","275","300","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","75","464858","0.0-27.0-2.0","2422","Confidence judgement (first response)","","","-1","-1","","","","right","57.25","50","57.25","true","24","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","76","466229","0.0-28.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","77","466738","0.0-28.0-1.0","null","[Dot display: left=300, right=276, diff=24]","null","","-1","-1","300","276","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","78","471160","0.0-28.0-2.0","4418.299999952316","Confidence judgement (first response)","","","-1","-1","","","","left","63.5","63.5","50","true","24","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","79","472443","0.0-29.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","80","472950","0.0-29.0-1.0","null","[Dot display: left=300, right=276, diff=24]","null","","-1","-1","300","276","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","81","475977","0.0-29.0-2.0","3024","Confidence judgement (first response)","","","-1","-1","","","","left","64.25","64.25","50","true","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","82","477241","0.0-30.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","83","477750","0.0-30.0-1.0","null","[Dot display: left=300, right=277, diff=23]","null","","-1","-1","300","277","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","84","485642","0.0-30.0-2.0","7889.099999904633","Confidence judgement (first response)","","","-1","-1","","","","left","60.5","60.5","50","true","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","85","486981","0.0-31.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","86","487491","0.0-31.0-1.0","null","[Dot display: left=300, right=277, diff=23]","null","","-1","-1","300","277","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","87","491876","0.0-31.0-2.0","4382.800000190735","Confidence judgement (first response)","","","-1","-1","","","","left","59","59","50","true","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","88","512343","0.0-32.0-0.0","20464","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","89","534543","0.0-32.0-0.1","22197","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","90","547560","0.0-32.0-0.2","13015","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","91","562207","0.0-32.0-0.3","14646","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","92","569977","0.0-32.0-0.4","7768","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","93","580993","0.0-32.0-0.5","11014","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","94","589927","0.0-32.0-0.6","8931","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","95","602060","0.0-32.0-0.7","12131","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","96","624459","0.0-32.0-0.8","22398","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
