"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"298705","welcome_msg","0","welcome","html-button-response","0","298720","0.0-0.0","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26979","PISdoc","0","PISdoc","html-button-response","1","325722","0.0-1.0","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4942","","{""age"":""31"",""gender"":""non-binary""}","demographics","survey-html-form","2","330671","0.0-2.0","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16394","","{""felt_panic"":0,""no_initiative"":0,""felt_blue"":0,""was_intolerant"":0,""nothing_forward"":0,""felt_scared"":0,""over_react"":0,""felt_worry"":0,""no_relax"":0,""no_positive"":0,""felt_annoyed"":0,""EOL_thoughts"":0}","dass10","survey-likert","3","347075","0.0-3.0","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1643","pracInstruc","0","pracInstructions","html-button-response","4","348728","0.0-4.0-0.0","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2065","pracInstruc","0","pracInstructions","html-button-response","5","350795","0.0-4.0-0.1","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"449","pracInstruc","0","pracInstructions","html-button-response","6","351246","0.0-4.0-0.2","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"421","pracInstruc","0","pracInstructions","html-button-response","7","351669","0.0-4.0-0.3","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"482","pracInstruc","0","pracInstructions","html-button-response","8","352154","0.0-4.0-0.4","31","non-binary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1275","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","","html-button-response","9","353432","0.0-5.0","31","non-binary","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","10","353901","0.0-6.0-0.0","31","non-binary","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=250, right=300, diff=50]","null","numerosity","html-keyboard-response","11","354463","0.0-6.0-1.0","31","non-binary","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1357","Confidence judgement (first response)","","confidence_first","html-keyboard-response","12","355826","0.0-6.0-2.0","31","non-binary","","-1","-1","","","","left","93.25","93.25","50","false","39","","","","","","","","","","","","","","","","","","","","","",""
