"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"4326","welcome_msg","0","welcome","html-button-response","0","4328","0.0-0.0","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117521","PISdoc","0","PISdoc","html-button-response","1","121850","0.0-1.0","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9967","","{""age"":""28"",""gender"":""male""}","demographics","survey-html-form","2","131819","0.0-2.0","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70140","","{""felt_panic"":1,""no_initiative"":1,""felt_blue"":1,""was_intolerant"":2,""nothing_forward"":0,""felt_scared"":0,""over_react"":1,""felt_worry"":1,""no_relax"":2,""no_positive"":0,""felt_annoyed"":0,""EOL_thoughts"":0}","dass10","survey-likert","3","201959","0.0-3.0","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10615","pracInstruc","0","pracInstructions","html-button-response","4","212576","0.0-4.0-0.0","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10148","pracInstruc","0","pracInstructions","html-button-response","5","222726","0.0-4.0-0.1","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4265","pracInstruc","0","pracInstructions","html-button-response","6","226993","0.0-4.0-0.2","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1682","pracInstruc","0","pracInstructions","html-button-response","7","228676","0.0-4.0-0.3","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3249","pracInstruc","0","pracInstructions","html-button-response","8","231925","0.0-4.0-0.4","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11283","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","","html-button-response","9","243210","0.0-5.0","28","male","132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","10","243575","0.0-6.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=250, diff=50]","null","numerosity","html-keyboard-response","11","244087","0.0-6.0-1.0","28","male","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4584.999999999971","Confidence judgement (first response)","","confidence_first","html-keyboard-response","12","248677","0.0-6.0-2.0","28","male","","-1","-1","","","","left","50.75","50.75","50","true","19","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","13","249100","0.0-6.0-0.1","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=250, right=300, diff=50]","null","numerosity","html-keyboard-response","14","249612","0.0-6.0-1.1","28","male","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4048","Confidence judgement (first response)","","confidence_first","html-keyboard-response","15","253661","0.0-6.0-2.1","28","male","","-1","-1","","","","right","55.5","50","55.5","true","19","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","16","254070","0.0-6.0-0.2","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=250, diff=50]","null","numerosity","html-keyboard-response","17","254583","0.0-6.0-1.2","28","male","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11125","Confidence judgement (first response)","","confidence_first","html-keyboard-response","18","265709","0.0-6.0-2.2","28","male","","-1","-1","","","","left","51.25","51.25","50","true","19","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","19","266006","0.0-6.0-0.3","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=281, right=300, diff=19]","null","numerosity","html-keyboard-response","20","266517","0.0-6.0-1.3","28","male","","-1","-1","281","300","19","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2375","Confidence judgement (first response)","","confidence_first","html-keyboard-response","21","268893","0.0-6.0-2.3","28","male","","-1","-1","","","","right","67.75","50","67.75","true","16","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","22","269254","0.0-6.0-0.4","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=284, right=300, diff=16]","null","numerosity","html-keyboard-response","23","269768","0.0-6.0-1.4","28","male","","-1","-1","284","300","16","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3183","Confidence judgement (first response)","","confidence_first","html-keyboard-response","24","272952","0.0-6.0-2.4","28","male","","-1","-1","","","","right","73.25","50","73.25","true","14","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","25","273228","0.0-6.0-0.5","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=286, right=300, diff=14]","null","numerosity","html-keyboard-response","26","273742","0.0-6.0-1.5","28","male","","-1","-1","286","300","14","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3098.000000000058","Confidence judgement (first response)","","confidence_first","html-keyboard-response","27","276841","0.0-6.0-2.5","28","male","","-1","-1","","","","right","50.5","50","50.5","true","11","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","28","277155","0.0-6.0-0.6","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=289, diff=11]","null","numerosity","html-keyboard-response","29","277667","0.0-6.0-1.6","28","male","","-1","-1","300","289","11","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3366","Confidence judgement (first response)","","confidence_first","html-keyboard-response","30","281034","0.0-6.0-2.6","28","male","","-1","-1","","","","right","57.5","50","57.5","false","20","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","31","281497","0.0-6.0-0.7","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
