"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"1614","welcome_msg","0","welcome","html-button-response","0","1618","0.0-0.0","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4044","PISdoc","0","PISdoc","html-button-response","1","5667","0.0-1.0","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5581","","{""age"":""30"",""gender"":""female""}","demographics","survey-html-form","2","11251","0.0-2.0","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40465","","{""felt_panic"":0,""no_initiative"":1,""felt_blue"":1,""was_intolerant"":0,""nothing_forward"":0,""felt_scared"":0,""over_react"":1,""felt_worry"":0,""no_relax"":0,""no_positive"":1,""felt_annoyed"":0,""EOL_thoughts"":0}","dass10","survey-likert","3","51720","0.0-3.0","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2895","pracInstruc","0","pracInstructions","html-button-response","4","54618","0.0-4.0-0.0","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3564","pracInstruc","0","pracInstructions","html-button-response","5","58184","0.0-4.0-0.1","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1182","pracInstruc","0","pracInstructions","html-button-response","6","59368","0.0-4.0-0.2","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2430","pracInstruc","0","pracInstructions","html-button-response","7","61800","0.0-4.0-0.3","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3532","pracInstruc","0","pracInstructions","html-button-response","8","65335","0.0-4.0-0.4","30","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49133","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","","html-button-response","9","114470","0.0-5.0","30","female","129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","10","114828","0.0-6.0-0.0","30","female","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=250, diff=50]","null","numerosity","html-keyboard-response","11","115337","0.0-6.0-1.0","30","female","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3962.5","Confidence judgement (first response)","","confidence_first","html-keyboard-response","12","119304","0.0-6.0-2.0","30","female","","-1","-1","","","","left","60","60","50","true","19","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","13","119767","0.0-6.0-0.1","30","female","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
