"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"true","fullscreen_enter","fullscreen","0","35138","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","welcome","html-button-response","1","41415","0.0-1.0","6275","welcome_msg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PISdoc","html-button-response","2","107211","0.0-2.0","65793","PISdoc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics","survey-html-form","3","112730","0.0-3.0","5516","","{""age"":""39"",""gender"":""female"",""id"":""8449""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","dass10","survey-likert","4","158099","0.0-4.0","45366","","{""felt_panic"":0,""no_initiative"":3,""felt_blue"":1,""was_intolerant"":2,""nothing_forward"":1,""felt_scared"":0,""over_react"":0,""felt_worry"":2,""no_relax"":0,""no_positive"":0,""felt_annoyed"":0,""EOL_thoughts"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","5","169352","0.0-5.0-0.0","11251","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","6","180244","0.0-5.0-0.1","10891","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","7","183981","0.0-5.0-0.2","3736","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","8","186082","0.0-5.0-0.3","2099","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","9","187934","0.0-5.0-0.4","1850","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","10","188868","0.0-5.0-0.5","932","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
