"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","advice_direction","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"true","fullscreen_enter","fullscreen","0","3101","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","welcome","html-button-response","1","5198","0.0-1.0","2095","welcome_msg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PISdoc","html-button-response","2","10348","0.0-2.0","5147","PISdoc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics","survey-html-form","3","14999","0.0-3.0","4648","","{""age"":""20"",""gender"":""female"",""id"":""4771""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","dass10","survey-likert","4","50103","0.0-4.0","35101","","{""felt_panic"":0,""no_initiative"":3,""felt_blue"":1,""was_intolerant"":1,""nothing_forward"":1,""felt_scared"":1,""over_react"":0,""felt_worry"":1,""no_relax"":2,""no_positive"":1,""felt_annoyed"":0,""EOL_thoughts"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","5","54584","0.0-5.0-0.0","4479","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","6","59402","0.0-5.0-0.1","4816","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","7","61634","0.0-5.0-0.2","2231","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","8","65168","0.0-5.0-0.3","3533","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","9","65985","0.0-5.0-0.4","815","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","10","66634","0.0-5.0-0.5","648","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","11","68669","0.0-5.0-0.6","2033","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","12","102703","0.0-6.0","34032","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","13","103939","0.0-7.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","14","104445","0.0-7.0-1.0","null","[Dot display: left=250, right=300, diff=50]","null","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","15","113423","0.0-7.0-2.0","8973.10000000894","Confidence judgement (first response)","","","-1","-1","","","","right","67.25","50","67.25","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","16","114802","0.0-8.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","17","115307","0.0-8.0-1.0","null","[Dot display: left=250, right=300, diff=50]","null","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","18","118854","0.0-8.0-2.0","3545.199999988079","Confidence judgement (first response)","","","-1","-1","","","","left","50.75","50.75","50","false","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","19","120281","0.0-9.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
