"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","advice_direction","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"true","fullscreen_enter","fullscreen","0","1880","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","welcome","html-button-response","1","3178","0.0-1.0","1294","welcome_msg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PISdoc","html-button-response","2","14624","0.0-2.0","11441","PISdoc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics","survey-html-form","3","17986","0.0-3.0","3358","","{""age"":""99"",""gender"":""male"",""id"":""6538""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","dass10","survey-likert","4","54054","0.0-4.0","36064","","{""felt_panic"":0,""no_initiative"":1,""felt_blue"":1,""was_intolerant"":0,""nothing_forward"":0,""felt_scared"":0,""over_react"":0,""felt_worry"":0,""no_relax"":1,""no_positive"":0,""felt_annoyed"":0,""EOL_thoughts"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","5","56886","0.0-5.0-0.0","2826","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","6","61335","0.0-5.0-0.1","4447","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","7","65821","0.0-5.0-0.2","4483","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","8","68813","0.0-5.0-0.3","2991","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","9","71246","0.0-5.0-0.4","2431","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","10","72862","0.0-5.0-0.5","1614","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","11","75438","0.0-5.0-0.6","2574","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","12","104340","0.0-6.0","28899","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","13","105682","0.0-7.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","14","106191","0.0-7.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","15","109555","0.0-7.0-2.0","3356.3999999910593","Confidence judgement (first response)","","","-1","-1","","","","left","94.5","94.5","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","16","111028","0.0-8.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","17","111535","0.0-8.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","18","114351","0.0-8.0-2.0","2812.699999988079","Confidence judgement (first response)","","","-1","-1","","","","left","70.5","70.5","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","19","115751","0.0-9.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","20","116257","0.0-9.0-1.0","null","[Dot display: left=250, right=300, diff=50]","null","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","21","117840","0.0-9.0-2.0","1580.2000000029802","Confidence judgement (first response)","","","-1","-1","","","","left","58","58","50","false","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","22","119199","0.0-10.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","23","119706","0.0-10.0-1.0","null","[Dot display: left=265, right=300, diff=35]","null","","-1","-1","265","300","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","24","120806","0.0-10.0-2.0","1097.7999999970198","Confidence judgement (first response)","","","-1","-1","","","","right","58.75","50","58.75","true","31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","25","122276","0.0-11.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","26","122785","0.0-11.0-1.0","null","[Dot display: left=269, right=300, diff=31]","null","","-1","-1","269","300","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","27","123886","0.0-11.0-2.0","1097.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","76.75","76.75","50","false","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","28","125269","0.0-12.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","29","125775","0.0-12.0-1.0","null","[Dot display: left=300, right=254, diff=46]","null","","-1","-1","300","254","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","30","126934","0.0-12.0-2.0","1155.8999999910593","Confidence judgement (first response)","","","-1","-1","","","","left","76.75","76.75","50","true","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","31","128302","0.0-13.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","32","128810","0.0-13.0-1.0","null","[Dot display: left=300, right=255, diff=45]","null","","-1","-1","300","255","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","33","130148","0.0-13.0-2.0","1334.8999999910593","Confidence judgement (first response)","","","-1","-1","","","","left","84.5","84.5","50","true","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","34","131424","0.0-14.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","35","131931","0.0-14.0-1.0","null","[Dot display: left=300, right=257, diff=43]","null","","-1","-1","300","257","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","36","133284","0.0-14.0-2.0","1350.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","88.25","88.25","50","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","37","134786","0.0-15.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","38","135291","0.0-15.0-1.0","null","[Dot display: left=300, right=258, diff=42]","null","","-1","-1","300","258","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","39","137196","0.0-15.0-2.0","1902","Confidence judgement (first response)","","","-1","-1","","","","left","85","85","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","40","138538","0.0-16.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","41","139047","0.0-16.0-1.0","null","[Dot display: left=259, right=300, diff=41]","null","","-1","-1","259","300","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","42","141682","0.0-16.0-2.0","2632.5","Confidence judgement (first response)","","","-1","-1","","","","right","70.5","50","70.5","true","39","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","43","143003","0.0-17.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","44","143511","0.0-17.0-1.0","null","[Dot display: left=300, right=261, diff=39]","null","","-1","-1","300","261","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","45","145009","0.0-17.0-2.0","1494.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","90.25","90.25","50","true","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","46","146324","0.0-18.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","47","146831","0.0-18.0-1.0","null","[Dot display: left=300, right=262, diff=38]","null","","-1","-1","300","262","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","48","148378","0.0-18.0-2.0","1543.2999999970198","Confidence judgement (first response)","","","-1","-1","","","","left","95.75","95.75","50","true","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
